note_id,file_name,folder_path,canon_text,conditional,cui,hof,imputed_time,location,location_snomed_id,negated,offset_end,offset_start,range_text,vocab_term,vocab,value
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Intravenous pyelogram,f,C0203108,f,na,null,null,f,2180,2177,IVP,32265006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Intravenous pyelogram,f,C0203108,f,na,null,null,f,2226,2223,IVP,32265006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Sulfate measurement,f,C0474702,f,na,null,null,f,2242,2235,sulfate,104948005,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Intravenous pyelogram,f,C0203108,f,na,null,null,f,2246,2243,IVP,32265006,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Radionuclide Imaging,f,C0034606,f,na,null,null,f,2311,2307,scan,373205008,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Ultrasonography,f,C0041618,f,na,null,null,f,2323,2313,ultrasound,359659005,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Screening for cancer,f,C0199230,f,na,null,null,f,2474,2468,screen,15886004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,"Joint Examination, Knee",f,C0562271,f,na,null,null,f,2951,2947,knee,284401004,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,Diagnostic arthroscopy of knee,f,C0187970,f,na,null,null,f,2980,2964,knee arthroscopy,179398005,SNOMEDCT_US,na
abdominal-pain-unc-part1,abdominal-pain-unc-part1.txt,texts/,"Joint Examination, Knee",f,C0562271,f,na,null,null,f,4492,4488,knee,284401004,SNOMEDCT_US,na
